grid,waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,rtd_shape,amplitude_retention,NRMSE,pearson_r,feature_delay_min,feature_definition,aligned_amplitude_retention,aligned_NRMSE,aligned_pearson_r,pass_strict,strict_criterion
primary_1080,pulse,2.0,distributed_RTD,1.0,5.0,3.0,0.2865093571452118,0.0919303450062414,0.2103214628133984,2.45,peak time,0.2865093571452118,0.06526920757163243,0.7496222111686336,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,2.0,0.0,3.0,0.6363973331856883,0.08503438726483999,0.46893309943147155,1.6500000000000077,peak time,0.6363973331856883,0.03212636447844957,0.9503531131545269,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,2.0,1.0,3.0,0.5277310535222792,0.0984131119353026,0.23095959941241864,2.5,peak time,0.5277310535222792,0.042222793754032234,0.9080212390663531,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,2.0,2.0,3.0,0.4179037200713207,0.09890606373786576,0.1583840191093929,2.95,peak time,0.4179037200713207,0.052653589138911515,0.8481122400524278,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,2.0,5.0,3.0,0.2548867277222014,0.09665609327199569,0.08217239616423898,3.6500000000000075,peak time,0.2548867277222014,0.06813188400684349,0.715392272538055,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,5.0,0.0,3.0,0.3247325737175818,0.09802272572480454,0.12202350086969663,3.55,peak time,0.3247325737175818,0.061873116261648466,0.7688722169234867,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,5.0,1.0,3.0,0.30032674471153675,0.1011207844532339,0.03533392752572159,4.600000000000008,peak time,0.30032674471153675,0.06446769559549917,0.7433559063070412,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,5.0,2.0,3.0,0.262151420052506,0.10070591939529124,0.010786358770758508,5.4,peak time,0.262151420052506,0.06837217426781526,0.7007218079585581,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,5.0,5.0,3.0,0.1847356876888991,0.09826953093890788,-0.016297189372108306,6.8,peak time,0.1847356876888991,0.07595984515250952,0.6047670796734923,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,distributed_RTD,10.0,0.0,3.0,0.17009713331501328,0.09728159862424174,0.0006469381335129833,6.75,peak time,0.17009713331501328,0.0775574856702848,0.5740716369786133,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
