tau_s_min,waveform,T_min,topology,tau_f_min,amplitude_retention,nrmse,pearson_r,feature_delay_min,aligned_amplitude_retention,aligned_nrmse,aligned_pearson_r,pass_strict,pass_shape_only,failed
1.0,ramp,30.0,plug,0.17205988,1.0000000000000009,0.01387099386663049,0.9995384704568172,1.2,1.0000000000000007,0.0009572059903758649,0.9999974379766735,True,True,
1.0,ramp,30.0,plug,0.1892191,1.0000000000000007,0.014069691636777855,0.9995252271449371,1.25,1.0000000000000007,0.0010768168911774738,0.9999968927991341,True,True,
1.0,ramp,30.0,plug,0.20808957,1.0000000000000007,0.014288178967877178,0.9995104498167324,1.25,1.0000000000000007,0.0009918300552061643,0.9999972925335009,True,True,
1.0,ramp,30.0,plug,0.22884197,1.0000000000000009,0.014528418181760365,0.9994939408991355,1.3,1.0000000000000009,0.0011394049998606904,0.9999965729786592,True,True,
1.0,ramp,30.0,plug,0.25,1.0000000000000007,0.014773359723123753,0.9994768309803199,1.3,1.0000000000000007,0.001023333241478377,0.9999971503486738,True,True,
1.0,ramp,30.0,plug,0.25166396,1.0000000000000007,0.014792616093473421,0.9994754736108717,1.3,1.0000000000000007,0.0010162648247447204,0.9999971829548634,True,True,
1.0,ramp,30.0,plug,0.27676195,1.000000000000001,0.015083072350495923,0.9994547892696465,1.3500000000000076,1.000000000000001,0.0011530166621974687,0.9999965006095993,True,True,
1.0,ramp,30.0,plug,0.30436292,1.0000000000000007,0.015402488205235156,0.9994315866362458,1.3500000000000076,1.0000000000000007,0.0010054848061574865,0.9999972320395358,True,True,
1.0,ramp,30.0,plug,0.33471648,1.0000000000000007,0.015753653684697496,0.9994055223048455,1.4000000000000077,1.0000000000000007,0.0011031475240186825,0.9999967617294098,True,True,
1.0,ramp,30.0,plug,0.36809714,1.0000000000000009,0.016139768264447536,0.9993761958457984,1.4000000000000077,1.0000000000000007,0.0009648581379225978,0.999997408514303,True,True,
1.0,ramp,30.0,plug,0.4048068,1.0000000000000009,0.016564306612632425,0.9993431438343661,1.45,1.0000000000000009,0.0010040049391032398,0.9999972391992313,True,True,
1.0,ramp,30.0,plug,0.44517744,1.0000000000000007,0.017031025116486537,0.9993058310924853,1.5,1.0000000000000007,0.0010461750319281527,0.9999970434357018,True,True,
1.0,ramp,30.0,plug,0.48957418,1.0000000000000009,0.01754410265185212,0.9992636331447406,1.55,1.0000000000000009,0.0010756472192776764,0.9999969006645485,True,True,
1.0,ramp,30.0,plug,0.5,1.0000000000000007,0.017664594089998376,0.9992535455269071,1.55,1.0000000000000007,0.0010238695515835704,0.9999971491506306,True,True,
