time_min,c_true,c_measured_device_A,c_measured_device_B,lod_au
129.50,0.301188,0.302923,0.410156,0.10
129.75,0.301107,0.302741,0.408361,0.10
130.00,0.301032,0.302569,0.406595,0.10
130.25,0.300961,0.302407,0.404856,0.10
130.50,0.300895,0.302254,0.403145,0.10
130.75,0.300833,0.302110,0.401460,0.10
131.00,0.300775,0.301974,0.399802,0.10
131.25,0.300721,0.301847,0.398169,0.10
131.50,0.300670,0.301727,0.396563,0.10
131.75,0.300622,0.301614,0.394982,0.10
132.00,0.300578,0.301508,0.393426,0.10
132.25,0.300537,0.301409,0.391895,0.10
132.50,0.300498,0.301315,0.390389,0.10
132.75,0.300462,0.301228,0.388906,0.10
133.00,0.300429,0.301145,0.387447,0.10
133.25,0.300398,0.301068,0.386012,0.10
133.50,0.300368,0.300996,0.384599,0.10
133.75,0.300341,0.300928,0.383209,0.10
134.00,0.300316,0.300864,0.381842,0.10
134.25,0.300293,0.300805,0.380496,0.10
134.50,0.300271,0.300749,0.379173,0.10
134.75,0.300250,0.300697,0.377870,0.10
135.00,0.300232,0.300649,0.376589,0.10
135.25,0.300214,0.300603,0.375328,0.10
135.50,0.300198,0.300561,0.374088,0.10
135.75,0.300183,0.300521,0.372868,0.10
136.00,0.300169,0.300484,0.371668,0.10
136.25,0.300156,0.300449,0.370488,0.10
136.50,0.300144,0.300417,0.369326,0.10
136.75,0.300132,0.300387,0.368184,0.10
137.00,0.300122,0.300359,0.367060,0.10
137.25,0.300112,0.300332,0.365954,0.10
137.50,0.300104,0.300308,0.364867,0.10
137.75,0.300095,0.300285,0.363797,0.10
138.00,0.300088,0.300264,0.362745,0.10
138.25,0.300081,0.300245,0.361710,0.10
138.50,0.300074,0.300226,0.360692,0.10
138.75,0.300068,0.300209,0.359691,0.10
139.00,0.300063,0.300194,0.358706,0.10
139.25,0.300058,0.300179,0.357737,0.10
139.50,0.300053,0.300165,0.356784,0.10
139.75,0.300049,0.300153,0.355847,0.10
140.00,0.300045,0.300141,0.354925,0.10
140.25,0.300041,0.300130,0.354018,0.10
140.50,0.300037,0.300120,0.353126,0.10
140.75,0.300034,0.300111,0.352249,0.10
141.00,0.300031,0.300102,0.351386,0.10
141.25,0.300029,0.300094,0.350538,0.10
141.50,0.300026,0.300087,0.349703,0.10
141.75,0.300024,0.300080,0.348882,0.10
142.00,0.300022,0.300073,0.348075,0.10
142.25,0.300020,0.300067,0.347281,0.10
142.50,0.300018,0.300062,0.346500,0.10
142.75,0.300017,0.300057,0.345732,0.10
143.00,0.300015,0.300052,0.344976,0.10
143.25,0.300014,0.300048,0.344233,0.10
143.50,0.300013,0.300044,0.343502,0.10
143.75,0.300012,0.300041,0.342784,0.10
144.00,0.300011,0.300037,0.342077,0.10
144.25,0.300010,0.300034,0.341382,0.10
144.50,0.300009,0.300031,0.340698,0.10
144.75,0.300008,0.300029,0.340025,0.10
145.00,0.300007,0.300026,0.339364,0.10
145.25,0.300007,0.300024,0.338714,0.10
145.50,0.300006,0.300022,0.338074,0.10
145.75,0.300006,0.300020,0.337445,0.10
146.00,0.300005,0.300019,0.336826,0.10
146.25,0.300005,0.300017,0.336217,0.10
146.50,0.300004,0.300015,0.335619,0.10
146.75,0.300004,0.300014,0.335030,0.10
147.00,0.300003,0.300013,0.334451,0.10
147.25,0.300003,0.300012,0.333882,0.10
147.50,0.300003,0.300011,0.333322,0.10
147.75,0.300003,0.300010,0.332771,0.10
148.00,0.300002,0.300009,0.332230,0.10
148.25,0.300002,0.300008,0.331697,0.10
